大类,中类,小类,公司,办公地,企业总资产,企业总资产（亿：美元）,投资关系与总投资规模,现任CEO,企业具体细分领域,,,,,,,,
应用领域,智能家居,,百度,北京·海淀,3090亿,445.16亿,投资新潮传媒（21亿），网易云音乐（6亿美元），狮桥物流（10亿），百信银行（20亿），酷开（10.1亿），极米科技（6亿）等；,李彦宏,互联网服务与基础设施,,,,,,,,
,,,小米,北京·海淀,1381.67亿,199.05亿美元,投资美团点评、爱奇艺、哔哩哔哩、趣头条、51信用卡、PINTEC（品钛）、云米、华米、北汽蓝谷；总投资273亿元。,雷军,以手机、智能硬件和IoT平台为核心的互联网公司,,,,,,,,
,,,北京光年无限科技有限公司（图灵机器人）,北京·石景山,10亿,,未上市,俞志晨,以语义技术为核心驱动力的人工智能公司,,,,,,,,
,,,搜狗,北京·海淀,15.15亿美元,,投资知乎，Airdoc，UTH 国际，闪萌，上海广策科技等；,王小川,互联网服务与基础设施,,,,,,,,
,服务机器人,,京东,北京·亦庄,2143亿,,投资彩生活（3.7亿），怡亚通， 齐心集团， 亿阳信通等；总投资规模210亿。,刘强东,零售基础设施服务提供商,,,,,,,,
,,,优必选,深圳·南山区,估值50亿美元,,未上市,周剑,一家集人工智能和服务机器人研发、平台软件开发运用及产品销售为一体的全球性高科技企业,,,,,,,,
,,,360公司,北京·中关村,304亿,,投资彩生活（1.2亿），迅雷，Discuz！，酷狗等；总投资规模45.4亿。,周鸿祎,功率半导体器件的设计研发、芯片制造、封装测试、销售,,,,,,,,
,移动设备/UAV,,出门问问,上海,估值10亿美元,,未上市,李志飞,一家拥有自主语音识别、语义分析、垂直搜索技术的人工智能公司,,,,,,,,
,,,阿里云,浙江·杭州,,,未上市,胡晓明,提供安全、可靠的计算和数据处理能力,,,,,,,,
,,,小米,北京·海淀,1381.67亿,,投资美团点评、爱奇艺、哔哩哔哩、趣头条、51信用卡、PINTEC（品钛）、云米、华米、北汽蓝谷；总投资273亿元。,雷军,以手机、智能硬件和IoT平台为核心的互联网公司,,,,,,,,
,智能驾驶,,驭驶科技,北京·房山,,,未上市,吴甘沙,专注于自动驾驶技术,,,,,,,,
,, ,图森未来,北京·顺义,估值10亿美元,,未上市,郝佳男,大型货运卡车自动驾驶系统自主研发,,,,,,,,
,,,景驰科技,广州·黄埔,,,未上市，已被百度收购,韩旭,无人驾驶,,,,,,,,
,行业应用,金融行业,商汤科技,北京·海淀,估值45亿美元,,未上市,张文,专注于计算机视觉和深度学习的原创技术研发,,,,,,,,
,,,上海依图网络科技,上海·徐汇区,估值20亿美元,,未上市,朱珑,主打AI视觉,,,,,,,,
,,,旷视科技（megvii）,北京·海淀,估值35亿美元,,未上市,印奇,人脸识别等，主要通过底层AI算法引擎和AIoT操作系统的建设实现技术商业化,,,,,,,,
,,安防行业,旷视科技（megvii）,北京·海淀,估值35亿美元,,未上市,印奇,人脸识别等，主要通过底层AI算法引擎和AIoT操作系统的建设实现技术商业化,,,,,,,,
,,,上海依图网络科技,上海·徐汇区,估值20亿美元,,未上市,朱珑,主打AI视觉,,,,,,,,
,,,商汤科技,北京·海淀,估值45亿美元,,未上市,张文,专注于计算机视觉和深度学习的原创技术研发,,,,,,,,
,,医疗行业,万里云医疗信息科技,北京·朝阳,估值14.5亿,,未上市,黄家祥,专注医学影像服务,,,,,,,,
,,教育行业,科大讯飞,安徽·合肥,152.6亿,,投资寒武纪，讯飞淘云，优必选，上海枫享网络科技等公司；总投资3.9亿,刘庆峰,语义理解，智能语音及人工智能,,,,,,,,
,,,北京贞观雨科技公司（小猿搜题）,北京·朝阳,估值30亿美元,,未上市,张小龙,用拍照搜题的方式解决中小学作业难题,,,,,,,,
,,,爱拼网（iPIN）,深圳·南山区,,,未上市,杨洋,建立全国高校各专业十年就业详情数据,,,,,,,,
,,视频/娱乐/社交行业,旷视科技（megvii）,北京·海淀,估值35亿美元,,未上市,印奇,人脸识别等，主要通过底层AI算法引擎和AIoT操作系统的建设实现技术商业化,,,,,,,,
,,,极限元,北京·海淀,估值5亿,,未上市,温正棋,敏感视频检测与过滤、视频场景分析；虚拟现实与增强现实；情感识别；,,,,,,,,
,,零售/电商行业,京东,北京·亦庄,2143亿,,投资彩生活（3.7亿），怡亚通， 齐心集团， 亿阳信通等；总投资规模210亿。,刘强东,零售基础设施服务提供商,,,,,,,,
,,,阿里巴巴,香港他·铜锣湾,9651亿,,总投资1571亿,张勇,为商家、品牌及其他企业提供基本的互联网基础设施以及营销平台,,,,,,,,
,,,旷视科技（megvii）,北京·海淀,估值35亿美元,,未上市,印奇,人脸识别等，主要通过底层AI算法引擎和AIoT操作系统的建设实现技术商业化,,,,,,,,
,,建筑行业,商汤科技,北京·海淀,估值45亿美元,,未上市,张文,专注于计算机视觉和深度学习的原创技术研发,,,,,,,,
,,,旷视科技（megvii）,北京·海淀,估值35亿美元,,未上市,印奇,人脸识别等，主要通过底层AI算法引擎和AIoT操作系统的建设实现技术商业化,,,,,,,,
,,法律行业,北京华宇信息技术有限公司（华宇）,北京·海淀,,,未上市,朱相宇,运用人工智能提升法律科技服务能力,,,,,,,,
,,招聘行业,爱拼网（iPIN）,深圳·南山区,,,未上市,杨洋,商业语言理解和智能信息分析,,,,,,,,
,,,杭州辈出科技,浙江·杭州,,,未上市,应叶琦,利用二度人脉关系招聘,,,,,,,,
,,新闻资讯行业,今日头条,北京·海淀,估值5000亿,,未上市,张一鸣,娱乐资讯,,,,,,,,
,,,,,,,,,,,,,,,,,
大类,中类,小类,公司,办公地,企业总资产,,投资关系与总投资规模,CEO,企业具体细分领域,,,,,,,,
通用AI技术及平台,计算机视觉,,苹果公司,美国·加利福尼亚,3222亿美元,,投资EarthLink（2亿美元），Akamai（1250万美元），三星（一亿美元），ARM等公司；总投资1160亿美元,蒂姆·库克,人脸识别,,,,,,,,
,,,阿里云,浙江·杭州,,,未上市,胡晓明,提供安全、可靠的计算和数据处理能力,,,,,,,,
,,,商汤科技,北京·海淀,估值45亿美元,,未上市,张文,专注于计算机视觉和深度学习的原创技术研发,,,,,,,,
,,,上海依图网络科技,上海·徐汇区,估值20亿美元,,未上市,,主打AI视觉,,,,,,,,
,,,旷视科技（megvii）,北京·海淀,估值35亿美元,,未上市,印奇,人脸识别等，主要通过底层AI算法引擎和AIoT操作系统的建设实现技术商业化,,,,,,,,
,,,极限元,北京·海淀,估值5亿,,未上市,温正棋,语音识别与合成、声纹识别；人脸识别、敏感视频检测与过滤、视频场景分析；虚拟现实与增强现实；情感识别；,,,,,,,,
,智能语音,,百度,北京·海淀,3090亿,,投资新潮传媒（21亿），网易云音乐（6亿美元），狮桥物流（10亿），百信银行（20亿），酷开（10.1亿），极米科技（6亿）等；,李彦宏,互联网服务与基础设施,,,,,,,,
,,,阿里云,浙江·杭州,,,未上市,胡晓明,提供安全、可靠的计算和数据处理能力,,,,,,,,
,,,出门问问,上海,估值10亿美元,,未上市,李志飞,一家拥有自主语音识别、语义分析、垂直搜索技术的人工智能公司,,,,,,,,
,,,极限元,北京·海淀,估值5亿,,未上市,温正棋,语音识别与合成、声纹识别；人脸识别、敏感视频检测与过滤、视频场景分析；虚拟现实与增强现实；情感识别；,,,,,,,,
,,,科大讯飞,安徽·合肥,152.6亿,,投资寒武纪，讯飞淘云，优必选，上海枫享网络科技等公司；总投资3.9亿,刘庆峰,语义理解，智能语音及人工智能,,,,,,,,
,,,搜狗,北京·海淀,15.15亿美元,,投资知乎，Airdoc，UTH 国际，闪萌，上海广策科技等；,王小川,互联网服务与基础设施,,,,,,,,
,自然语言处理,,百度,北京·海淀,3090亿,,投资新潮传媒（21亿），网易云音乐（6亿美元），狮桥物流（10亿），百信银行（20亿），酷开（10.1亿），极米科技（6亿）等；,李彦宏,互联网服务与基础设施,,,,,,,,
,,,腾讯云,深圳·前海,33亿美元,,未上市,张向东,云计算服务商,,,,,,,,
,,,智言科技,深圳·宝安,,,未上市,,云计算、大数据技术和相关产品的数据采集及处理；,,,,,,,,
,,,阿里云,浙江·杭州,390亿美元,,未上市,胡晓明,提供安全、可靠的计算和数据处理能力,,,,,,,,
,机器学习/知识图谱,,搜狗,北京·海淀,15.15亿美元,,投资知乎，Airdoc，UTH 国际，闪萌，上海广策科技等；,王小川,互联网服务与基础设施,,,,,,,,
,,,腾讯云,深圳·前海,33亿美元,,未上市,张向东,云计算服务商,,,,,,,,
,,,爱拼网（iPIN）,深圳·南山区,,,未上市,杨洋,商业语言理解和智能信息分析,,,,,,,,
,,,百度,北京·海淀,3090亿,,投资新潮传媒（21亿），网易云音乐（6亿美元），狮桥物流（10亿），百信银行（20亿），酷开（10.1亿），极米科技（6亿）等；,李彦宏,互联网服务与基础设施,,,,,,,,
,云平台/OS/大数据服务,大数据服务,国双科技（GRIDSUM）,北京·海淀,10.37亿,,投资北京海纳天创科技（1020万），北京国信网研科技（80万）等。,祁国晟,高效采集并分析海量数据,,,,,,,,
,,OS,北京光年无限科技有限公司（图灵机器人）,北京·石景山,估值10亿,,未上市,俞志晨,以语义技术为核心驱动力的人工智能公司,,,,,,,,
,,PaaS/SaaS,智云奇点科技（AbleCloud）,北京·海淀,,,未上市,李海磊,IoT物联网云服务平台，智能硬件云平台,,,,,,,,
,,LaaS,阿里云,浙江·杭州,390亿美元,,未上市,胡晓明,提供安全、可靠的计算和数据处理能力,,,,,,,,
,,,腾讯云,深圳·前海,33亿美元,,未上市,张向东,云计算服务商,,,,,,,,
,,,华为,深圳·龙岗,41336亿,,未上市,余承东,基础通讯服务设备，移动通讯设备,,,,,,,,
,,,,,,,,,,,,,,,,,
大类,中类,小类,公司,办公地,企业总资产,,投资关系与总投资规模,CEO,企业具体细分领域,,,,,,,,
底层硬件,AI芯片,云端训练,NVIDIA（英伟达）,美国·加利福尼亚,140.2亿美元,,投资Element AI（1.02亿美元），SoundHound（7500万美元），Aimotive（2500万美元），图森未来，Deep Instinct（3200万美元）等公司,黄仁勋,半导体产品,,,,,,,,
,,,Google,美国·加利福尼亚,2571亿美元,,投资满帮集团，Barefoot Networks等公司,桑达尔·皮查伊 ,互联网服务与基础设施,,,,,,,,
,,云端推理,NVIDIA（英伟达）,美国·加利福尼亚,140.2亿美元,,投资Element AI（1.02亿美元），SoundHound（7500万美元），Aimotive（2500万美元），图森未来，Deep Instinct（3200万美元）等公司,黄仁勋,半导体产品,,,,,,,,
,,,Intel（英特尔）,美国·加利福尼亚,1308亿美元,,投资众包平台的Mighty AI、大数据医疗服务公司Lumiata、机器视觉公司Aeye等公司,鲍勃·斯旺,半导体产品,,,,,,,,
,,,AMD,美国·加利福尼亚,51.02亿美元,,投资CiiNOW等公司,Lisa Su,半导体产品,,,,,,,,
,,设备端推理,思必驰（AISPEECH）,江苏·苏州,,,未上市,高始兴,专注智能终端领域，为智能车载、智能家居、智能玩具/机器人、智能穿戴、智能手机等打造自然语言交互产品方案,,,,,,,,
,,,深鉴科技（deephi）,北京·海淀,估值10亿美元,,已被赛灵思收购,姚颂,致力于为全世界提供更便捷、更高效、更经济的深度学习平台解决方案,,,,,,,,
,,,广东中科人人智能科技（faceOS）,广东·珠海,,,未上市,王海增,人脸识别,,,,,,,,
,,,寒武纪科技（Cambricon）,北京·海淀,估值160亿,,未上市,张猛,打造各类智能云服务器、智能终端以及智能机器人的核心处理器芯片,,,,,,,,
,,类脑芯片,IBM,美国·纽约,1547亿美元,,,帕米萨诺,IT实现服务、云计算,,,,,,,,
,视觉传感器,激光雷达,思岚科技（SLAMTEC）,上海·自贸区,估值6.5亿元,,未上市,陈士凯,激光雷达、机器人自主定位导航系统,,,,,,,,
,,,Quanergy,美国·加利福尼亚,估值20亿美元,,未上市,Louay Eldada,自动驾驶车传感器，激光雷达,,,,,,,,
,,毫米波雷达,智波科技,浙江·杭州,,,未上市,刘天一,专注于汽车与无人机用毫米波雷达,,,,,,,,
,,,沈阳承泰科技（Cheng-Tech）,辽宁·沈阳,,,未上市,陈承文,"专注于77G毫米波雷达技术研发,致力于为无线通信、智能汽车和机器人等产业提供核心技术及器件的解决方案。",,,,,,,,
,,,隼眼科技,江苏·南京,,,未上市,施雪松,专注于76-81GHz车载毫米波雷达技术研究与应用,,,,,,,,
,,摄像头,速感科技,北京·海淀,,,未上市,陈震,机器人行业领先的视觉解决方案提供商,,,,,,,,
,,,中科慧眼（smarter eye）,北京·海淀,,,未上市,姜安,提供各类的立体视觉解决方案,,,,,,,,
,,3D传感,苹果公司,美国·加利福尼亚,3222亿美元,,投资EarthLink（2亿美元），Akamai（1250万美元），三星（一亿美元），ARM等公司；总投资1160亿美元,蒂姆·库克,3D传感模块,,,,,,,,
,,,甲骨文,美国·加利福尼亚,1087亿美元,,投资特斯拉（10亿美元）等公司,拉里·埃里森（Larry Ellison）,基础架构,,,,,,,,
,,,微软,美国·华盛顿,2866亿美元,,"投资OpenAI
投资OpenAI（10亿美元），Markforged（5.5亿美元），Loggi（1.5亿美元）等公司",萨提亚·纳德拉 ,软件支持，技术咨询服务,,,,,,,,